Timestamp,Business_Num,Business_Name,Details
2024-12-15 16:25:09,1485555,양와당철산점,성공적으로 메뉴 추출 완료
2024-12-15 16:28:13,1485566,척척버거 양산본점,성공적으로 메뉴 추출 완료
2024-12-15 16:32:45,1485581,빙화설지92만두,성공적으로 메뉴 추출 완료
2024-12-15 16:37:24,1485595,소버,성공적으로 메뉴 추출 완료
2024-12-15 16:38:12,1485597,포차인북성로파동점,성공적으로 메뉴 추출 완료
2024-12-15 16:40:38,1485604,가마솥순대국밥 센트럴점,성공적으로 메뉴 추출 완료
2024-12-15 16:43:47,1485613,타쿠즈,성공적으로 메뉴 추출 완료
2024-12-15 16:47:30,1485624,청해,성공적으로 메뉴 추출 완료
2024-12-15 16:49:20,1485629,만카이 웅천자이점,성공적으로 메뉴 추출 완료
2024-12-15 16:50:34,1485632,봉식이네 돼지마을,성공적으로 메뉴 추출 완료
2024-12-15 16:56:17,1485650,타코락 일광점,성공적으로 메뉴 추출 완료
2024-12-15 16:57:26,1485653,오름채 현대백화점중동점,성공적으로 메뉴 추출 완료
2024-12-15 16:58:52,1485657,솥정옥,성공적으로 메뉴 추출 완료
2024-12-15 17:02:44,1485670,동동국밥 장산점,성공적으로 메뉴 추출 완료
2024-12-15 17:06:53,1485682,청풍,성공적으로 메뉴 추출 완료
2024-12-15 17:08:56,1485688,333파스타 강서점,성공적으로 메뉴 추출 완료
2024-12-15 17:09:34,1485689,올드버거,성공적으로 메뉴 추출 완료
2024-12-15 17:15:57,1485710,제주선채향광주일곡점,성공적으로 메뉴 추출 완료
2024-12-15 17:16:59,1485713,뉴욕야시장 신촌점,성공적으로 메뉴 추출 완료
2024-12-15 17:17:45,1485715,박가네매콤순대,성공적으로 메뉴 추출 완료
2024-12-15 17:25:29,1485738,청년피자 별내갈매점,성공적으로 메뉴 추출 완료
2024-12-15 17:38:51,1485781,채선당 자연한가득 고산점,성공적으로 메뉴 추출 완료
2024-12-15 17:39:19,1485782,까페 르네,성공적으로 메뉴 추출 완료
2024-12-15 17:39:48,1485783,한우로 당당하게,성공적으로 메뉴 추출 완료
2024-12-15 17:42:30,1485792,덤브치킨제주삼화점,성공적으로 메뉴 추출 완료
2024-12-15 17:43:31,1485795,빅글로리,성공적으로 메뉴 추출 완료
2024-12-15 17:43:59,1485796,도깨비갈비찜,성공적으로 메뉴 추출 완료
2024-12-15 17:44:26,1485797,맛있는집밥분이네,성공적으로 메뉴 추출 완료
2024-12-15 17:47:16,1485806,미각양꼬치 금곡점,성공적으로 메뉴 추출 완료
2024-12-15 17:48:03,1485808,하루엔소쿠 화서역브리시엘점,성공적으로 메뉴 추출 완료
2024-12-15 17:50:00,1485814,교동조개오빠,성공적으로 메뉴 추출 완료
2024-12-15 17:50:49,1485816,하노이별김량장점,성공적으로 메뉴 추출 완료
2024-12-15 17:51:23,1485817,분식을 품다 미사점,성공적으로 메뉴 추출 완료
2024-12-15 18:00:22,1485843,동남집 송도커넬워크점,성공적으로 메뉴 추출 완료
2024-12-15 18:01:12,1485845,"오늘,은",성공적으로 메뉴 추출 완료
2024-12-15 18:01:43,1485846,아라치치킨동해천곡점,성공적으로 메뉴 추출 완료
2024-12-15 18:10:01,1485874,통영촌집담소화,성공적으로 메뉴 추출 완료
